Area,Nearest hut/Reference,Type,Name,Grade,Prio,Link,notes,done,length,comments,year
Arco,Placche Zebrate,Sportclimb,Via Trento,5,,Bergsteigen.com,,DONE,170,nice and sweet.,2024
Arco,Placche Zebrate,Alpine ,Via Teresa,6,,,,DONE,450,"long adventure, needs good orientation. set by Furlani & Bassi, one of the first routes with climbing shoes of the area",2024
Hohe Wand,Naglplatte,Sportclimb,Verl. Edelweisssteig,5,1,Bergsteigen.com,classic,,,,
Hohe Wand,Fuchsloch,Sportclimb,OAK Jubilaumsweg,6,,Bergsteigen.com,"nice bolting, nice climbing",DONE,150,,2024
Hohe Wand,Naglplatte,Sportclimb,Beserlpark,6,1,Bergsteigen.com,"Plaisirclimb, very bolted. Walk passages inbetween. For Alpineinsteiger",,,,
Hohe Wand,Völlerin,Sportclimb,Hamburger Pfeiler,6,1,Bergsteigen.com,classic,,,,
Hohe Wand,Weningerturm,Sportclimb,Heimaterde,6,1,Bergsteigen.com,"alpine feeling, good bolted. Watchout for exit, see description",,,,
Hohe Wand,Weningerturm,Climb,Sonnenkind,7,1,Bergsteigen.com,"climbs Baumgartnerturm, abseilen then crosses Wildenauersteig",,,,
Hohe Wand,Sonnenuhrwand,Sportclimb,Puzzle für Fortgeschrittene,7,1,Bergsteigen.com,"hard, might take long. Not so near to Skywalker",,,,
Hohe Wand,Sonnenuhrwand,Sportclimb,Kronjuwel,7,2,Bergsteigen.com,"very hard, might take long. all 6.grade with some 7. BUT just beneath Skywalker ",,,,
Hohe Wand,Appesteig/Pechersteiglein,Climb,Appelsteig,2,,Bergsteigen.com,only tree belaying. There's a cave in the middle,,,,
Hohe Wand,Kanzelgrat,Climb,Kanzelsteig,2,,Bergsteigen.com,"Steinschlag, Testamentwandl. Wildenauerclassic. Combine with technikersteig",,,,
Hohe Wand,Völlerin,Climb,Brandlochsteig,2,,Bergsteigen.com,alternative to Tirolers.,,,,
Hohe Wand,Weningerturm,Climb,Turmsteig,2,,Bergsteigen.com,"looks fun. Tower @Wildenauer ferrata. Abseilen.good bolted, combine with Baumgartnerturm. See book for variations",DONE,,,2023
Hohe Wand,Hammerlwand,Climb,Eichertsteig,3,,Bergsteigen.com,classic. Possibly recently renovated,,,,
Hohe Wand,Kanzelgrat,Climb,Wienersteig,3,,Bergsteigen.com,combine with Fredsteig,,,,
Hohe Wand,Naglplatte,Climb,Grafenbergsteig,3,,Bergsteigen.com,close to Terzettsteig,,,,
Hohe Wand,Völlerin,Climb,Tirolersteig,3,,Bergsteigen.com,classic,DONE,400,"overrated,long walks in between, little climbimng",2023
Hohe Wand,Weningerturm,Climb,Weningersteig,3,,see Book,"long runouts, see variations",,,,
Hohe Wand,Teufelsgrat,Alpine ,Teufelsgrat,3,,Bergsteigen.com,,,,,
Hohe Wand,Adalbertwand,Climb,Adalbertsteig,4,,Bergsteigen.com,"alpine feeling, low bolted,take friend ",,,,
Hohe Wand,Kanzelgrat,Climb,Fredsteig,4,,Bergsteigen.com,For KK training. But prob. recently updated safety. Look for Fredi Variation,,,,
Hohe Wand,Fuchsloch,Sportclimb,Reinecke Fuchs,5,,Bergsteigen.com,loose rocks,,,,
Hohe Wand,Fuchsloch,Sportclimb,Norbertsteig,5,,Bergsteigen.com,Loose rocks. Combine with Austriasteig,,,,
Hohe Wand,Hammerlwand,Sportclimb,Hammerlsteig,5,,see Book,not too bolted ,,,,
Hohe Wand,Weningerturm,Sportclimb,Schillerkamin,5,,Bergsteigen.com,runouts. Combi wih Freundschaftssteig possible,,,,
Hohe Wand,Draschgrat,Sportclimb,Betty&Paul,6,,Bergsteigen.com,classic,DONE,250,"just great, last 2 SLmissing becuase ended up on Alter WOlf",2024
Hohe Wand,Draschgrat,Sportclimb,Traum&Wirklichkeit,6,,Bergsteigen.com,,DONE,250,"Just great, some loose rocks in first half. last SL missing bec. Fortunato tired. completed in 2024",2024
Hohe Wand,Hochfallwand,Sportclimb,Grunbachersteig,6,,Bergsteigen.com,2SL,,,,
Hohe Wand,Hochfallwand,Sportclimb,Danglweg,6,,Bergsteigen.com,2 Sl.. Must,,,,
Hohe Wand,Babywand,Sportclimb,D'Habergoass,7,,Bergsteigen.com,"great, generous bolting. See nearby routes for easier options. Eine stelle 7+(6-)",,,,
Hohe Wand,Kanzelgrat,Sportclimb,Tiwaz,7,,Bergsteigen.com,modern classic,,,,
Hohe Wand,Krummer Ries,Sportclimb,Auf Wildenauer Spuren,6,,Bergsteigen.com,constantly difficult,DONE,220,hard single moves and constant grade. great bolting. pers. grade 7-,2024
Hohe Wand,Totenkopfl,Alpine ,EB-Platte,7,,Bergsteigen.com,"hard, needs KK, alpine",,,,
Hohe Wand,Bergkameradenwand,Alpine ,Truffelschwein,7,,Bergsteigen.com,"hard, needs Friends, alpine",,,,
